ability	美音:[ə'bɪləti]英音:[ə'bɪlɪtɪ]	n. 能力，能耐；才能
abstract	美音:['æbstrækt]英音:['æbstrækt]	n. 摘要；抽象；抽象的概念 adj. 抽象的；深奥的 vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉 vi. 做摘要；写梗概
accountant	美音:[ə'kaʊntənt]英音:[ə'kaʊnt(ə)nt]	n. 会计师；会计人员
accuracy	美音:['ækjərəsi]英音:['ækjʊrəsɪ]	n. [数] 精确度，准确性
acid	美音:['æsɪd]英音:['æsɪd]	n. 酸；迷幻药 adj. 酸的；讽刺的；刻薄的
action	美音:['ækʃən]英音:['ækʃ(ə)n]	n. 行动；活动；功能；战斗；情节 n. (Action)人名；(英)埃克申
activity	美音:[æk'tɪviti]英音:[æk'tɪvɪtɪ]	n. 活动；行动；活跃
actor	美音:['æktɚ]英音:['æktə]	n. 男演员；行动者；作用物
adult	美音:['ædʌlt]英音:['ædʌlt; ə'dʌlt]	adj. 成年的；成熟的 n. 成年人
adventure	美音:[əd'vɛntʃɚ]英音:[əd'ventʃə]	n. 冒险；冒险精神；投机活动 vt. 冒险；大胆说出 vi. 冒险
advertisements		n. [经] 广告（advertisement的复数）；宣传
advertising	美音:['ædvɚ'taɪzɪŋ]英音:['ædvətaɪzɪŋ]	n. 广告；广告业；登广告 adj. 广告的；广告业的 v. 公告；为…做广告（advertise的ing形式）
advice	美音:[ædˈvaɪs; əd'vaɪs]英音:[əd'vaɪs]	n. 建议；忠告；劝告；通知
age	美音:[edʒ]英音:[eɪdʒ]	n. 年龄；时代；寿命，使用年限；阶段 vi. 成熟；变老 vt. 使成熟；使变老，使上年纪 n. (Age)人名；(瑞典)阿格；(日)扬 (姓)；(西、荷)阿赫
agency	美音:['edʒənsi]英音:['eɪdʒ(ə)nsɪ]	n. 代理，中介；代理处，经销处
agreement	美音:[ə'grimənt]英音:[ə'griːm(ə)nt]	n. 协议；同意，一致
agriculture	美音:['æɡrɪkʌltʃɚ]英音:['ægrɪkʌltʃə]	n. 农业；农耕；农业生产；农艺，农学
aid	美音:[ed]英音:[eɪd]	n. 援助；帮助；助手；帮助者 vt. 援助；帮助；有助于 vi. 帮助 n. (Aid)人名；(阿拉伯、印、英)艾德
aim	美音:[em]英音:[eɪm]	vt. 目的在于；引导；把…对准 vi. 打算；对准目标；瞄准 n. 目的；目标；对准
air	美音:[ɛr]英音:[eə]	n. 空气，大气；天空；样子；曲调 vt. 使通风，晾干；夸耀 vi. 通风
allergy	美音:['ælɚdʒi]英音:['ælədʒɪ]	n. 过敏症；反感；厌恶
alley	美音:['æli]英音:['ælɪ]	n. 小巷；小路；小径 n. (Alley)人名；(英)阿利
allowance	美音:[ə'laʊəns]英音:[ə'laʊəns]	n. 津贴，零用钱；允许；限额 vt. 定量供应
alteration	美音:[,ɔltə'reʃən]英音:[ɔːltə'reɪʃ(ə)n; 'ɒl-]	n. 修改，改变；变更
altitude	美音:['æltɪtud]英音:['æltɪtjuːd]	n. 高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔
ambition	美音:[æm'bɪʃən]英音:[æm'bɪʃ(ə)n]	n. 野心，雄心；抱负，志向 vt. 追求；有…野心
ambulance	美音:['æmbjələns]英音:['æmbjʊl(ə)ns]	n. [车辆][医] 救护车；战时流动医院
amount	美音:[ə'maʊnt]英音:[ə'maʊnt]	vi. 总计，合计；相当于；共计；产生…结果 n. 数量；总额，总数
analysis	美音:[ə'næləsɪs]英音:[ə'nælɪsɪs]	n. 分析；分解；验定
analyst	美音:['ænəlɪst]英音:['æn(ə)lɪst]	n. 分析者；精神分析医师；分解者
anger	美音:['æŋɡɚ]英音:['æŋgə]	n. 怒，愤怒；忿怒 vt. 使发怒，激怒；恼火 vi. 发怒；恼火 n. (Anger)人名；(罗)安杰尔；(法)安热；(德、捷、瑞典)安格尔
animal	美音:['ænɪml]英音:['ænɪm(ə)l]	n. 动物 动物的
ankle	美音:['æŋkl]英音:['æŋk(ə)l]	n. 踝关节，踝
answer	美音:['ænsɚ]英音:['ɑːnsə]	vt. 回答；符合 vi. 回答；符合 n. 回答；答案；答辩
Antarctica	美音:[æn'tɑrktɪkə]英音:[æn'tɑːktɪkə]	n. 南极洲
ape	美音:[ep]英音:[eɪp]	n. [脊椎] 猿；傻瓜；模仿者 vt. 模仿；抢台词 adj. 狂热的 n. (Ape)人名；(意)阿佩
appearance	美音:[ə'pɪrəns]英音:[ə'pɪər(ə)ns]	n. 外貌，外观；出现，露面
architect	美音:['ɑrkɪtɛkt]英音:['ɑːkɪtekt]	n. 建筑师 缔造者
architectures		n. 建筑；架构（architecture的复数）
area	美音:['ɛrɪə]英音:['eərɪə]	n. 区域，地区；面积；范围 n. (Area)人名；(西)阿雷亚
argument	美音:['ɑrɡjumənt]英音:['ɑːgjʊm(ə)nt]	n. 论证；论据；争吵；内容提要
aristocrat	美音:[ə'rɪstəkræt]英音:['ærɪstəkræt; ə'rɪst-]	n. 贵族
army	美音:['ɑrmi]英音:['ɑːmɪ]	n. 陆军，军队
